[23:54:56] [INFO] received Windows console close event; shutting log-core down
[23:58:50] [INFO] received Windows console close event; shutting log-core down
[00:01:44] [INFO] received Windows console close event; shutting log-core down
[00:18:55] [INFO] received Windows console close event; shutting log-core down
[01:17:00] [INFO] received Windows console close event; shutting log-core down
[01:44:55] [INFO] received Windows console close event; shutting log-core down
[01:45:20] [INFO] received Windows console close event; shutting log-core down
[01:46:03] [INFO] received Windows console close event; shutting log-core down
[02:19:26] [INFO] received Windows console close event; shutting log-core down
[09:15:59] [INFO] received Windows console close event; shutting log-core down
[09:16:52] [INFO] received Windows console close event; shutting log-core down
[09:17:18] [INFO] received Windows console close event; shutting log-core down
[09:17:57] [INFO] received Windows console close event; shutting log-core down
[09:18:20] [INFO] received Windows console close event; shutting log-core down
[09:19:17] [INFO] received Windows console close event; shutting log-core down
[09:20:09] [INFO] received Windows console close event; shutting log-core down
[09:34:18] [INFO] received Windows console close event; shutting log-core down
[10:23:28] [INFO] received Windows console close event; shutting log-core down
[10:36:08] [INFO] received Windows console close event; shutting log-core down
[18:27:46] [INFO] received Windows console close event; shutting log-core down
[19:57:08] [INFO] received Windows console close event; shutting log-core down
[19:59:23] [INFO] received Windows console close event; shutting log-core down
[20:00:23] [INFO] received Windows console close event; shutting log-core down
[20:00:59] [INFO] received Windows console close event; shutting log-core down
[20:08:18] [INFO] received Windows console close event; shutting log-core down
[20:11:28] [INFO] received Windows console close event; shutting log-core down
[20:12:08] [INFO] received Windows console close event; shutting log-core down
[22:15:24] [INFO] received Windows console close event; shutting log-core down
[11:05:02] [INFO] received Windows console close event; shutting log-core down
[11:06:17] [INFO] received Windows console close event; shutting log-core down
[11:10:41] [INFO] received Windows console close event; shutting log-core down
[11:11:39] [INFO] received Windows console close event; shutting log-core down
[11:13:11] [INFO] received Windows console close event; shutting log-core down
[11:13:20] [INFO] received Windows console close event; shutting log-core down
[11:17:24] [INFO] received Windows console close event; shutting log-core down
[11:18:49] [INFO] received Windows console close event; shutting log-core down
[11:19:55] [INFO] received Windows console close event; shutting log-core down
[11:21:57] [INFO] received Windows console close event; shutting log-core down
[11:23:36] [INFO] received Windows console close event; shutting log-core down
[11:24:22] [INFO] received Windows console close event; shutting log-core down
[11:25:32] [INFO] received Windows console close event; shutting log-core down
[11:26:31] [INFO] received Windows console close event; shutting log-core down
[11:44:50] [INFO] received Windows console close event; shutting log-core down
[11:46:04] [INFO] received Windows console close event; shutting log-core down
[11:47:13] [INFO] received Windows console close event; shutting log-core down
[11:49:44] [INFO] received Windows console close event; shutting log-core down
[11:50:47] [INFO] received Windows console close event; shutting log-core down
[13:43:05] [INFO] received Windows console close event; shutting log-core down
[13:43:23] [INFO] received Windows console close event; shutting log-core down
[13:45:53] [INFO] received Windows console close event; shutting log-core down
[18:05:34] [INFO] received Windows console close event; shutting log-core down
[19:21:46] [INFO] received Windows console close event; shutting log-core down
[19:21:58] [INFO] received Windows console close event; shutting log-core down
[19:22:24] [INFO] received Windows console close event; shutting log-core down
[19:22:37] [INFO] received Windows console close event; shutting log-core down
[19:33:01] [INFO] received Windows console close event; shutting log-core down
[19:34:56] [INFO] received Windows console close event; shutting log-core down
[19:35:00] [INFO] received Windows console close event; shutting log-core down
[19:41:46] [INFO] received Windows console close event; shutting log-core down
[19:41:49] [INFO] received Windows console close event; shutting log-core down
[19:43:57] [INFO] received Windows console close event; shutting log-core down
[19:47:27] [INFO] received Windows console close event; shutting log-core down
[19:49:01] [INFO] received Windows console close event; shutting log-core down
[19:50:59] [INFO] received Windows console close event; shutting log-core down
[19:53:08] [INFO] received Windows console close event; shutting log-core down
[19:54:07] [INFO] received Windows console close event; shutting log-core down
[19:54:43] [INFO] received Windows console close event; shutting log-core down
[19:55:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:55:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:57:07] [INFO] received Windows console close event; shutting log-core down
[21:52:15] [INFO] received Windows console close event; shutting log-core down
[22:10:53] [INFO] received Windows console close event; shutting log-core down
[22:11:32] [INFO] received Windows console close event; shutting log-core down
[22:13:12] [INFO] received Windows console close event; shutting log-core down
[22:14:25] [INFO] received Windows console close event; shutting log-core down
[22:15:56] [INFO] received Windows console close event; shutting log-core down
[22:16:46] [INFO] received Windows console close event; shutting log-core down
[22:21:52] [INFO] received Windows console close event; shutting log-core down
[22:26:48] [INFO] received Windows console close event; shutting log-core down
[22:27:54] [INFO] received Windows console close event; shutting log-core down
[22:32:24] [INFO] received Windows console close event; shutting log-core down
[01:40:44] [INFO] received Windows console close event; shutting log-core down
[10:19:41] [INFO] received Windows console close event; shutting log-core down
[10:22:15] [INFO] received Windows console close event; shutting log-core down
[10:30:19] [INFO] received Windows console close event; shutting log-core down
[10:32:16] [INFO] received Windows console close event; shutting log-core down
[10:36:28] [INFO] received Windows console close event; shutting log-core down
[10:37:41] [INFO] received Windows console close event; shutting log-core down
[10:41:02] [INFO] received Windows console close event; shutting log-core down
[10:57:55] [INFO] received Windows console close event; shutting log-core down
[11:07:15] [INFO] received Windows console close event; shutting log-core down
[11:11:02] [INFO] received Windows console close event; shutting log-core down
[11:13:37] [INFO] received Windows console close event; shutting log-core down
[11:15:08] [INFO] received Windows console close event; shutting log-core down
[11:17:01] [INFO] received Windows console close event; shutting log-core down
[11:18:34] [INFO] received Windows console close event; shutting log-core down
[11:32:41] [INFO] received Windows console close event; shutting log-core down
[11:39:41] [INFO] received Windows console close event; shutting log-core down
[11:41:29] [INFO] received Windows console close event; shutting log-core down
[11:42:54] [INFO] received Windows console close event; shutting log-core down
[11:45:19] [INFO] received Windows console close event; shutting log-core down
[11:57:09] [INFO] received Windows console close event; shutting log-core down
[13:14:09] [INFO] received Windows console close event; shutting log-core down
[13:36:40] [INFO] received Windows console close event; shutting log-core down
[18:36:14] [INFO] received Windows console close event; shutting log-core down
[18:54:09] [INFO] received Windows console close event; shutting log-core down
[18:56:23] [INFO] received Windows console close event; shutting log-core down
[18:57:49] [INFO] received Windows console close event; shutting log-core down
[18:59:17] [INFO] received Windows console close event; shutting log-core down
